bing_date,bing_month,bing_year,bing_isoweek,bing_isodow,bing_isoyear,bing_channel_group,bing_product_group,bing_sub_channel,bing_advertiser,bing_cost,bing_impressions,bing_clicks,bing_video_views,bing_video_completes
2017-01-21,1,2017,3,5,2017,Shopping,Mattress,SN,Tempur-Pedic,908.83,29276,324,0,0.0
2017-01-21,1,2017,3,5,2017,Shopping,Other,SN,Tempur-Pedic,353.71,7458,114,0,0.0
2017-01-21,1,2017,3,5,2017,Shopping,Pillow,SN,Tempur-Pedic,515.62,22596,203,0,0.0
2017-01-22,1,2017,3,6,2017,Branded Search,Mattress,SN,Tempur-Pedic,17981.66999999999,82160,5391,0,0.0
2017-01-22,1,2017,3,6,2017,Branded Search,Other,SN,Tempur-Pedic,2208.5499999999997,23665,742,0,0.0
2017-01-22,1,2017,3,6,2017,Branded Search,Pillow,SN,Tempur-Pedic,758.5100000000002,6733,190,0,0.0
2017-01-22,1,2017,3,6,2017,Competitor Search,Mattress,SN,Tempur-Pedic,419.44,1366,30,0,0.0
2017-01-22,1,2017,3,6,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,1310.9000000000008,533102,828,0,0.0
2017-01-22,1,2017,3,6,2017,Display Remarketing,Other,DN,Tempur-Pedic,190.71999999999997,60652,127,0,0.0
2017-01-22,1,2017,3,6,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,163.79999999999995,48992,88,0,0.0
2017-01-22,1,2017,3,6,2017,Shopping,Mattress,SN,Tempur-Pedic,897.8199999999999,29654,326,0,0.0
2017-01-22,1,2017,3,6,2017,Shopping,Other,SN,Tempur-Pedic,351.15,10650,124,0,0.0
2017-01-22,1,2017,3,6,2017,Shopping,Pillow,SN,Tempur-Pedic,507.73,17681,185,0,0.0
2017-01-23,1,2017,3,7,2017,Branded Search,Mattress,SN,Tempur-Pedic,18365.049999999985,87570,4501,0,0.0
2017-01-23,1,2017,3,7,2017,Branded Search,Other,SN,Tempur-Pedic,2195.34,22483,677,0,0.0
2017-01-23,1,2017,3,7,2017,Branded Search,Pillow,SN,Tempur-Pedic,1047.08,7683,230,0,0.0
2017-01-23,1,2017,3,7,2017,Competitor Search,Mattress,SN,Tempur-Pedic,383.2899999999999,1344,31,0,0.0
2017-01-23,1,2017,3,7,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,1357.1299999999999,674305,905,0,0.0
2017-01-23,1,2017,3,7,2017,Display Remarketing,Other,DN,Tempur-Pedic,187.17,60028,102,0,0.0
2017-01-23,1,2017,3,7,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,153.34,65039,88,0,0.0
