hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2018-05-13,19,5,2,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,11730.0
2018-05-13,19,5,2,2018,2018,Nolah,Nolah,manufacturer,disruptor,7457.0
2018-02-11,6,2,1,2018,2018,cocoon,tsi,manufacturer,disruptor,12506.0
2018-05-13,19,5,2,2018,2018,cocoon,tsi,manufacturer,disruptor,9150.0
2018-05-13,19,5,2,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,8314.0
2018-05-13,19,5,2,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,2570.0
2018-05-13,19,5,2,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,2570.0
2017-12-24,51,12,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2018-05-20,20,5,2,2018,2018,purple,purple,manufacturer,disruptor,615164.0
2017-12-31,52,12,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,170641.0
2018-05-20,20,5,2,2018,2018,casper,casper,manufacturer,disruptor,444884.0
2018-05-20,20,5,2,2018,2018,Nectar,Nectar,manufacturer,disruptor,311587.0
2018-05-20,20,5,2,2018,2018,saatva,saatva,manufacturer,disruptor,178307.0
2018-05-20,20,5,2,2018,2018,tuft & needle,tuft & needle,manufacturer,disruptor,200723.0
2018-05-20,20,5,2,2018,2018,leesa,leesa,manufacturer,disruptor,112123.0
2018-05-20,20,5,2,2018,2018,loom & leaf,saatva,manufacturer,disruptor,59502.0
2018-05-20,20,5,2,2018,2018,Helix,Helix,manufacturer,disruptor,41706.0
2018-05-20,20,5,2,2018,2018,Nest Bedding,Nest Bedding,manufacturer,disruptor,44756.0
2018-05-20,20,5,2,2018,2018,Avocado Mattress,Avocado Mattress,manufacturer,disruptor,34333.0
2018-05-20,20,5,2,2018,2018,ghost bed,ghost bed,manufacturer,disruptor,31711.0
2018-05-20,20,5,2,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,23086.0
2018-05-20,20,5,2,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,12138.0
2018-05-20,20,5,2,2018,2018,Nolah,Nolah,manufacturer,disruptor,6796.0
2017-12-31,52,12,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2018-05-20,20,5,2,2018,2018,cocoon,tsi,manufacturer,disruptor,17294.0
2018-01-07,1,1,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,170417.0
2018-05-20,20,5,2,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,12764.0
2018-05-20,20,5,2,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,1428.0
2018-05-20,20,5,2,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,1428.0
2018-02-25,8,2,1,2018,2018,cocoon,tsi,manufacturer,disruptor,27639.0
2018-01-07,1,1,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-01-14,2,1,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,171213.0
2017-08-20,33,8,3,2017,2017,Sapira Sleep,Leesa,manufacturer,disruptor,21003.0
2018-01-14,2,1,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-03-04,9,3,1,2018,2018,cocoon,tsi,manufacturer,disruptor,13442.0
2018-01-21,3,1,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,181457.0
2018-01-28,4,1,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,182991.0
2018-02-04,5,2,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,185836.0
2018-06-03,22,6,2,2018,2018,ghost bed,ghost bed,manufacturer,disruptor,31067.0
2018-03-11,10,3,1,2018,2018,cocoon,tsi,manufacturer,disruptor,13762.0
2018-02-04,5,2,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-06-03,22,6,2,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,28393.0
2018-02-11,6,2,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,216820.0
2018-06-03,22,6,2,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,13707.0
2018-06-03,22,6,2,2018,2018,Nolah,Nolah,manufacturer,disruptor,12069.0
2018-06-03,22,6,2,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,10419.0
2018-06-03,22,6,2,2018,2018,cocoon,tsi,manufacturer,disruptor,11866.0
2018-06-03,22,6,2,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,1961.0
2018-06-03,22,6,2,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,1961.0
2018-02-11,6,2,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-02-18,7,2,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,272860.0
2018-03-18,11,3,1,2018,2018,cocoon,tsi,manufacturer,disruptor,13651.0
2018-02-25,8,2,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,305077.0
2018-03-25,12,3,1,2018,2018,cocoon,tsi,manufacturer,disruptor,9976.0
2018-02-25,8,2,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-03-04,9,3,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,337912.0
2018-04-01,13,3,1,2018,2018,cocoon,tsi,manufacturer,disruptor,12656.0
2018-03-04,9,3,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-03-11,10,3,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,415049.0
2018-04-08,14,4,2,2018,2018,cocoon,tsi,manufacturer,disruptor,12078.0
2018-03-11,10,3,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-03-18,11,3,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,354410.0
2018-04-15,15,4,2,2018,2018,cocoon,tsi,manufacturer,disruptor,9439.0
2018-03-18,11,3,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-03-25,12,3,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,300087.0
2018-03-25,12,3,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-04-01,13,3,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,302207.0
2018-04-01,13,3,1,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-04-08,14,4,2,2018,2018,Nectar,Nectar,manufacturer,disruptor,333900.0
2018-01-21,3,1,1,2018,2018,tuft & needle,tuft & needle,manufacturer,disruptor,137119.0
2018-04-08,14,4,2,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-04-15,15,4,2,2018,2018,Nectar,Nectar,manufacturer,disruptor,366685.0
2018-01-21,3,1,1,2018,2018,cocoon,tsi,manufacturer,disruptor,14432.0
2018-01-21,3,1,1,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,9641.0
2018-04-15,15,4,2,2018,2018,Dream Bed,mfrm,manufacturer,disruptor,
2018-01-21,3,1,1,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,18103.0
2018-01-21,3,1,1,2018,2018,Nolah,Nolah,manufacturer,disruptor,6782.0
2018-01-21,3,1,1,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,2179.0
2018-01-21,3,1,1,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,2179.0
2018-01-28,4,1,1,2018,2018,purple,purple,manufacturer,disruptor,407204.0
2018-01-28,4,1,1,2018,2018,casper,casper,manufacturer,disruptor,304788.0
2018-01-28,4,1,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,182991.0
2018-01-28,4,1,1,2018,2018,tuft & needle,tuft & needle,manufacturer,disruptor,113134.0
2018-01-28,4,1,1,2018,2018,saatva,saatva,manufacturer,disruptor,149149.0
2018-01-28,4,1,1,2018,2018,leesa,leesa,manufacturer,disruptor,100801.0
2018-01-28,4,1,1,2018,2018,loom & leaf,saatva,manufacturer,disruptor,129359.0
2018-02-18,7,2,1,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,20402.0
2018-02-18,7,2,1,2018,2018,Sleep Eve,Sleep Eve,manufacturer,disruptor,2687.0
2018-02-18,7,2,1,2018,2018,Eve Mattress,Sleep Eve,manufacturer,disruptor,2687.0
2018-03-18,11,3,1,2018,2018,purple,purple,manufacturer,disruptor,595478.0
2018-03-18,11,3,1,2018,2018,casper,casper,manufacturer,disruptor,314767.0
2018-03-18,11,3,1,2018,2018,Nectar,Nectar,manufacturer,disruptor,354410.0
2018-03-18,11,3,1,2018,2018,tuft & needle,tuft & needle,manufacturer,disruptor,132973.0
